time	nose_x	nose_y	r_shoulder_x	r_shoulder_y	l_shoulder_x	l_shooulder_t	cursor_x	cursor_y	block	repetition	target	trial	state	comeback	is_blind	at_home	count_mouse	score
1334.4968000000008	0.0	0.0	0.0	0.0	0.0	0.0	1200.0005406747914	650.0002928655058	1	1	0	1	0	1	0	1	0	0
1369.049500000001	0.0	0.0	0.0	0.0	0.0	0.0	1199.9999027127533	649.999947302731	1	1	0	1	0	1	0	1	0	0
1403.4824000000008	0.0	0.0	0.0	0.0	0.0	0.0	1199.9996386482576	649.9998042677926	1	1	0	1	0	1	0	1	0	0
1437.8751000000047	0.0	0.0	0.0	0.0	0.0	0.0	1199.999626442227	649.999797656192	1	1	0	1	0	1	0	1	0	0
1471.6988000000056	0.0	0.0	0.0	0.0	0.0	0.0	1199.9997402523445	649.9998593033399	1	1	0	1	0	1	0	1	0	0
1505.960300000006	0.0	0.0	0.0	0.0	0.0	0.0	1199.999893608658	649.9999423713457	1	1	0	1	0	1	0	1	0	0
1540.8313000000053	0.0	0.0	0.0	0.0	0.0	0.0	1200.0000068456507	650.0000037080524	1	1	0	1	0	1	0	1	0	0
1575.7265000000043	0.0	0.0	0.0	0.0	0.0	0.0	1200.0000577128699	650.0000312611298	1	1	0	1	0	1	0	1	0	0
1609.8447000000015	0.0	0.0	0.0	0.0	0.0	0.0	1200.0000596135174	650.0000322906479	1	1	0	1	0	1	0	1	0	0
1644.8314000000028	0.0	0.0	0.0	0.0	0.0	0.0	1200.0000376541034	650.0000203959673	1	1	0	1	0	1	0	1	0	0
1678.9485000000059	0.0	0.0	0.0	0.0	0.0	0.0	1200.0000205359943	650.0000111236593	1	1	0	1	0	1	0	1	0	0
1712.8938000000053	0.0	0.0	0.0	0.0	0.0	0.0	1200.000000566387	650.0000003067885	1	1	0	1	0	1	0	1	0	0
1747.7062000000005	0.0	0.0	0.0	0.0	0.0	0.0	1199.999990915799	649.9999950793858	1	1	0	1	0	1	0	1	0	0
1782.6186000000016	0.0	0.0	0.0	0.0	0.0	0.0	1199.9999898400795	649.9999944967041	1	1	0	1	0	1	0	1	0	0
1816.5907000000007	0.0	0.0	0.0	0.0	0.0	0.0	1199.999993227498	649.9999963315543	1	1	0	1	0	1	0	1	0	0
1850.5655000000042	0.0	0.0	0.0	0.0	0.0	0.0	1199.9999974244374	649.9999986048952	1	1	0	1	0	1	0	1	0	0
1884.287400000001	0.0	0.0	0.0	0.0	0.0	0.0	1200.0000003945759	650.0000002137194	1	1	0	1	0	1	0	1	0	0
1917.943800000001	0.0	0.0	0.0	0.0	0.0	0.0	1200.0000016463632	650.0000008917708	1	1	0	1	0	1	0	1	0	0
1952.4635000000053	0.0	0.0	0.0	0.0	0.0	0.0	1200.0000016064514	650.0000008701547	1	1	0	1	0	1	0	1	0	0
1987.044200000004	0.0	0.0	0.0	0.0	0.0	0.0	1200.000001209536	650.0000006551621	1	1	0	1	0	1	0	1	0	0
2020.4563000000053	0.0	0.0	0.0	0.0	0.0	0.0	1200.0000005046113	650.0000002733309	1	1	0	1	0	1	0	1	0	0
2054.6442000000025	0.0	0.0	0.0	0.0	0.0	0.0	1199.9999999781496	649.999999988163	1	1	0	1	0	1	0	1	0	0
2087.820599999999	0.0	0.0	0.0	0.0	0.0	0.0	1199.9999997378495	649.9999998579976	1	1	0	1	0	1	0	1	0	0
2121.576500000003	0.0	0.0	0.0	0.0	0.0	0.0	1199.9999997248651	649.9999998509622	1	1	0	1	0	1	0	1	0	0
2156.4941000000035	0.0	0.0	0.0	0.0	0.0	0.0	1199.9999998242392	649.9999999047889	1	1	0	1	0	1	0	1	0	0
2190.851999999999	0.0	0.0	0.0	0.0	0.0	0.0	1199.9999999029885	649.9999999474446	1	1	0	1	0	1	0	1	0	0
2225.7622000000047	0.0	0.0	0.0	0.0	0.0	0.0	1199.9999999957058	649.9999999976665	1	1	0	1	0	1	0	1	0	0
2260.3070000000007	0.0	0.0	0.0	0.0	0.0	0.0	1200.000000041168	650.0000000222917	1	1	0	1	0	1	0	1	0	0
2294.6658000000025	0.0	0.0	0.0	0.0	0.0	0.0	1200.0000000468767	650.0000000253826	1	1	0	1	0	1	0	1	0	0
2328.649400000002	0.0	0.0	0.0	0.0	0.0	0.0	1200.0000000316156	650.0000000171156	1	1	0	1	0	1	0	1	0	0
2362.6307000000015	0.0	0.0	0.0	0.0	0.0	0.0	1200.000000012301	650.0000000066534	1	1	0	1	0	1	0	1	0	0
2397.0885000000053	0.0	0.0	0.0	0.0	0.0	0.0	1200.00000000684	650.0000000036953	1	1	0	1	0	1	0	1	0	0
2432.130100000002	0.0	0.0	0.0	0.0	0.0	0.0	1200.0000000022073	650.0000000011855	1	1	0	1	0	1	0	1	0	0
2466.218200000003	0.0	0.0	0.0	0.0	0.0	0.0	1199.9999999956608	649.9999999976394	1	1	0	1	0	1	0	1	0	0
2500.2387000000017	0.0	0.0	0.0	0.0	0.0	0.0	1199.9999999937113	649.9999999965837	1	1	0	1	0	1	0	1	0	0
2534.320400000004	0.0	0.0	0.0	0.0	0.0	0.0	1199.9999999925467	649.9999999959532	1	1	0	1	0	1	0	1	0	0
2569.3089000000036	0.0	0.0	0.0	0.0	0.0	0.0	1199.9999999921247	649.9999999957254	1	1	0	1	0	1	0	1	0	0
2603.364300000001	0.0	0.0	0.0	0.0	0.0	0.0	1199.999999992619	649.9999999959932	1	1	0	1	0	1	0	1	0	0
2637.871800000001	0.0	0.0	0.0	0.0	0.0	0.0	1199.999999993419	649.9999999964267	1	1	0	1	0	1	0	1	0	0
2671.5192000000025	0.0	0.0	0.0	0.0	0.0	0.0	1199.9999999955003	649.9999999975544	1	1	0	1	0	1	0	1	0	0
2705.5940000000046	0.0	0.0	0.0	0.0	0.0	0.0	1199.9999999966012	649.9999999981508	1	1	0	1	0	1	0	1	0	0
2739.8289000000004	0.0	0.0	0.0	0.0	0.0	0.0	1199.9999999976508	649.9999999987194	1	1	0	1	0	1	0	1	0	0
2773.827900000004	0.0	0.0	0.0	0.0	0.0	0.0	1199.999999999421	649.9999999996795	1	1	0	1	0	1	0	1	0	0
2807.9823000000033	0.0	0.0	0.0	0.0	0.0	0.0	1200.0000000000932	650.0000000000447	1	1	0	1	0	1	0	1	0	0
2841.9951	0.0	0.0	0.0	0.0	0.0	0.0	1200.000000000985	650.0000000005298	1	1	0	1	0	1	0	1	0	0
2876.818299999999	0.0	0.0	0.0	0.0	0.0	0.0	1200.0000000012215	650.0000000006586	1	1	0	1	0	1	0	1	0	0
2911.3473000000013	0.0	0.0	0.0	0.0	0.0	0.0	1200.0000000013388	650.0000000007227	1	1	0	1	0	1	0	1	0	0
2945.668000000005	0.0	0.0	0.0	0.0	0.0	0.0	1200.0000000012967	650.0000000007007	1	1	0	1	0	1	0	1	0	0
2979.782100000004	0.0	0.0	0.0	0.0	0.0	0.0	1200.0000000011794	650.0000000006369	1	1	0	1	0	1	0	1	0	0
3013.8054000000047	0.0	0.0	0.0	0.0	0.0	0.0	1200.000000000847	650.0000000004562	1	1	0	1	0	1	0	1	0	0
3047.9087	0.0	0.0	0.0	0.0	0.0	0.0	1200.0000000006644	650.0000000003565	1	1	0	1	0	1	0	1	0	0
3081.4953000000023	0.0	0.0	0.0	0.0	0.0	0.0	1200.0000000004875	650.0000000002597	1	1	0	1	0	1	0	1	0	0
3116.229100000004	0.0	0.0	0.0	0.0	0.0	0.0	1200.000000000183	650.0000000000916	1	1	0	1	0	1	0	1	0	0
3150.7876000000033	0.0	0.0	0.0	0.0	0.0	0.0	1200.0000000000648	650.0000000000259	1	1	0	1	0	1	0	1	0	0
3185.264900000002	0.0	0.0	0.0	0.0	0.0	0.0	1199.9999999999718	649.9999999999741	1	1	0	1	0	1	0	1	0	0
3219.227500000001	0.0	0.0	0.0	0.0	0.0	0.0	1199.9999999998581	649.9999999999104	1	1	0	1	0	1	0	1	0	0
3253.8596000000034	0.0	0.0	0.0	0.0	0.0	0.0	1199.9999999998329	649.9999999998963	1	1	0	1	0	1	0	1	0	0
3287.8551000000007	0.0	0.0	0.0	0.0	0.0	0.0	1199.999999999825	649.9999999998919	1	1	0	1	0	1	0	1	0	0
3321.786100000005	0.0	0.0	0.0	0.0	0.0	0.0	1199.9999999998463	649.999999999905	1	1	0	1	0	1	0	1	0	0
3355.468400000005	0.0	0.0	0.0	0.0	0.0	0.0	1199.9999999998693	649.9999999999187	1	1	0	1	0	1	0	1	0	0
3388.9311000000016	0.0	0.0	0.0	0.0	0.0	0.0	1199.9999999998968	649.999999999935	1	1	0	1	0	1	0	1	0	0
3423.6084000000046	0.0	0.0	0.0	0.0	0.0	0.0	1199.9999999999554	649.9999999999688	1	1	0	1	0	1	0	1	0	0
